Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2023,2023-01-01,08019,Residencial,No consta,4906
2023,2023-01-01,08019,Serveis,De 00:00:00 a 05:59:59 h,32276
2023,2023-01-01,08019,Serveis,De 06:00:00 a 11:59:59 h,32347
2023,2023-01-01,08019,Serveis,De 12:00:00 a 17:59:59 h,33691
2023,2023-01-01,08019,Serveis,De 18:00:00 a 23:59:59 h,36967
2023,2023-01-01,08019,Serveis,No consta,952
2023,2023-01-01,08020,Indústria,De 00:00:00 a 05:59:59 h,6300
2023,2023-01-01,08020,Indústria,De 06:00:00 a 11:59:59 h,6267
2023,2023-01-01,08020,Indústria,De 12:00:00 a 17:59:59 h,6135
2023,2023-01-01,08020,Indústria,De 18:00:00 a 23:59:59 h,6304
2023,2023-01-01,08020,Indústria,No consta,33
2023,2023-01-01,08020,Residencial,De 00:00:00 a 05:59:59 h,29303
2023,2023-01-01,08020,Residencial,De 06:00:00 a 11:59:59 h,30901
2023,2023-01-01,08020,Residencial,De 12:00:00 a 17:59:59 h,50029
2023,2023-01-01,08020,Residencial,De 18:00:00 a 23:59:59 h,52533
2023,2023-01-01,08020,Residencial,No consta,6954
2023,2023-01-01,08020,Serveis,De 00:00:00 a 05:59:59 h,46238
2023,2023-01-01,08020,Serveis,De 06:00:00 a 11:59:59 h,40354
2023,2023-01-01,08020,Serveis,De 12:00:00 a 17:59:59 h,48327
2023,2023-01-01,08020,Serveis,De 18:00:00 a 23:59:59 h,51699
2023,2023-01-01,08020,Serveis,No consta,990
2023,2023-01-01,08021,Indústria,De 00:00:00 a 05:59:59 h,2732
2023,2023-01-01,08021,Indústria,De 06:00:00 a 11:59:59 h,2786
2023,2023-01-01,08021,Indústria,De 12:00:00 a 17:59:59 h,2919
2023,2023-01-01,08021,Indústria,De 18:00:00 a 23:59:59 h,3027
2023,2023-01-01,08021,Indústria,No consta,81
2023,2023-01-01,08021,No especificat,De 00:00:00 a 05:59:59 h,64
2023,2023-01-01,08021,No especificat,De 06:00:00 a 11:59:59 h,54
2023,2023-01-01,08021,No especificat,De 12:00:00 a 17:59:59 h,65
2023,2023-01-01,08021,No especificat,De 18:00:00 a 23:59:59 h,68
2023,2023-01-01,08021,No especificat,No consta,6
2023,2023-01-01,08021,Residencial,De 00:00:00 a 05:59:59 h,29127
2023,2023-01-01,08021,Residencial,De 06:00:00 a 11:59:59 h,30135
2023,2023-01-01,08021,Residencial,De 12:00:00 a 17:59:59 h,41596
2023,2023-01-01,08021,Residencial,De 18:00:00 a 23:59:59 h,46377
2023,2023-01-01,08021,Residencial,No consta,5899
2023,2023-01-01,08021,Serveis,De 00:00:00 a 05:59:59 h,33882
2023,2023-01-01,08021,Serveis,De 06:00:00 a 11:59:59 h,35429
2023,2023-01-01,08021,Serveis,De 12:00:00 a 17:59:59 h,37996
2023,2023-01-01,08021,Serveis,De 18:00:00 a 23:59:59 h,39085
2023,2023-01-01,08021,Serveis,No consta,1117
2023,2023-01-01,08022,Indústria,De 00:00:00 a 05:59:59 h,381
2023,2023-01-01,08022,Indústria,De 06:00:00 a 11:59:59 h,407
2023,2023-01-01,08022,Indústria,De 12:00:00 a 17:59:59 h,500
